序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,481000,9.43%
2,6223,旺矽,124000,6.13%
3,2383,台光電子,137000,5.82%
4,2454,聯發科,135000,4.83%
5,6274,台燿,343000,4.81%
6,2308,台達電子,196000,3.98%
7,6515,穎崴,55000,3.96%
8,5274,信驊科技,24000,3.78%
9,2327,國巨*,598000,3.66%
10,2345,智邦,174000,3.51%
11,3037,欣興,391000,3.42%
12,2344,華邦電子,2327000,3.05%
13,2303,聯電,2467000,2.96%
14,3017,奇鋐,131000,2.90%
15,3443,創意電子,72000,2.79%
16,6669,緯穎,57000,2.58%
17,2368,金像電子,201000,2.20%
18,7751,竑騰,150000,2.20%
19,8046,南電,307000,2.16%
20,4958,臻鼎-KY,482000,2.06%
21,2360,致茂,88000,1.84%
22,3264,欣銓,867000,1.75%
23,3711,日月光投控,328000,1.66%
24,6147,頎邦,494000,1.25%
25,3702,大聯大,1256000,1.23%
26,3036,文曄,335000,0.80%
27,3042,晶技,445000,0.80%
28,3189,景碩科技,102000,0.62%
29,8028,昇陽半導體,225000,0.61%
30,3665,貿聯-KY,33000,0.57%
31,7769,鴻勁,8000,0.55%
32,2881,富邦金控,596000,0.54%
33,5289,宜鼎國際,36000,0.54%
34,8021,尖點,144000,0.54%
35,2049,上銀科技,163000,0.53%
36,6239,力成,170000,0.53%
37,2883,凱基金控,2804000,0.52%
38,3044,健鼎科技,120000,0.52%
39,1560,中砂,86000,0.51%
40,8210,勤誠興業,44000,0.50%
41,2481,強茂,348000,0.47%
42,3491,昇達科技,26000,0.47%
43,6446,藥華醫藥,61000,0.47%
44,6285,啟碁科技,173000,0.46%
45,6415,矽力*-KY,92000,0.46%
46,2313,華通,179000,0.42%
47,2606,裕民,707000,0.40%
48,6531,愛普科技,40000,0.40%
49,2059,川湖,9000,0.38%
50,4749,新應材,41000,0.36%
51,3533,嘉澤端子,16000,0.35%
52,4991,環宇-KY,22000,0.13%
