序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,538000,8.08%
2,2412,中華電,4600000,5.22%
3,3036,文曄,2788000,5.16%
4,3105,穩懋,1503000,4.51%
5,2313,華通,2090000,4.42%
6,3702,大聯大,5026000,3.78%
7,2303,聯電,7668000,3.70%
8,3044,健鼎科技,1089000,3.15%
9,2454,聯發科,215000,2.73%
10,3037,欣興,524000,1.99%
11,3167,大量,565000,1.78%
12,1590,亞德客-KY,205000,1.74%
13,2344,華邦電子,2199000,1.69%
14,2327,國巨*,789000,1.64%
15,6515,穎崴,25000,1.53%
16,2360,致茂,114000,1.43%
17,3533,嘉澤端子,81000,1.42%
18,2383,台光電子,62000,1.38%
19,8996,高力,186000,1.34%
20,3017,奇鋐,76000,1.29%
21,2368,金像電子,174000,1.28%
22,2337,旺宏,1290000,1.27%
23,2308,台達電子,105000,1.24%
24,2345,智邦,94000,1.21%
25,7751,竑騰,100000,1.18%
26,6223,旺矽,38000,1.17%
27,6770,力積電,2530000,1.15%
28,1303,南亞,1804000,1.14%
29,2883,凱基金控,6909000,1.14%
30,3264,欣銓,836000,1.11%
31,3481,群創光電,5402000,1.10%
32,2882,國泰金,1806000,1.08%
33,1560,中砂,293000,1.06%
34,3491,昇達科技,86000,1.05%
35,6442,光聖,64000,1.04%
36,5274,信驊科技,9000,0.82%
37,2347,聯強,932000,0.60%
38,2606,裕民,1206000,0.60%
39,3715,定穎投控,402000,0.60%
40,4904,遠傳,762000,0.60%
41,5904,寶雅,142000,0.60%
42,6505,台塑石化,1269000,0.60%
43,2395,研華,216000,0.59%
44,2603,長榮海運,346000,0.59%
45,2885,元大金,1556000,0.59%
46,2891,中信金,1356000,0.59%
47,3023,信邦,274000,0.59%
48,3131,弘塑科技,25000,0.59%
49,3293,鈊象,92000,0.59%
50,2481,強茂,789000,0.58%
51,3583,辛耘,150000,0.58%
52,6213,聯茂,460000,0.58%
53,2404,漢唐,82000,0.57%
54,4958,臻鼎-KY,326000,0.57%
55,3665,貿聯-KY,38000,0.56%
56,6285,啟碁科技,386000,0.56%
57,6274,台燿,112000,0.54%
58,3653,健策,16000,0.52%
59,1815,富喬工業,603000,0.49%
60,8021,尖點,237000,0.49%
61,6805,富世達,32000,0.48%
62,3324,雙鴻科技,60000,0.45%
63,8358,金居開發,217000,0.44%
64,6446,藥華醫藥,83000,0.43%
65,6290,良維,257000,0.42%
66,2449,京元電子,183000,0.41%
67,4722,國精化學,291000,0.40%
68,1519,華城,57000,0.38%
69,8299,群聯電子,29000,0.37%
