序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,452000,9.99%
2,6223,旺矽,115000,6.48%
3,2327,國巨*,628000,6.08%
4,2383,台光電子,115000,5.83%
5,2454,聯發科,135000,4.91%
6,2344,華邦電子,2548000,4.81%
7,6274,台燿,289000,4.18%
8,3037,欣興,409000,3.71%
9,2303,聯電,2327000,3.55%
10,2308,台達電子,196000,3.47%
11,6515,穎崴,45000,3.36%
12,2345,智邦,148000,3.22%
13,5274,信驊科技,22000,3.11%
14,3017,奇鋐,127000,2.72%
15,4958,臻鼎-KY,472000,2.52%
16,3189,景碩科技,314000,2.37%
17,2408,南亞科,557000,2.35%
18,3711,日月光投控,331000,1.93%
19,6669,緯穎,42000,1.79%
20,2368,金像電子,164000,1.76%
21,5536,聖暉*,147000,1.70%
22,3443,創意電子,40000,1.64%
23,8358,金居開發,313000,1.59%
24,3264,欣銓,712000,1.43%
25,3665,貿聯-KY,79000,1.38%
26,2881,富邦金控,884000,1.06%
27,2885,元大金,1184000,0.72%
28,2883,凱基金控,2420000,0.67%
29,2890,永豐金控,1681000,0.62%
30,8996,高力,44000,0.60%
31,2882,國泰金,606000,0.57%
32,2891,中信金,863000,0.56%
33,2347,聯強,510000,0.43%
34,2472,立隆,110000,0.42%
35,8021,尖點,86000,0.42%
36,6446,藥華醫藥,32000,0.38%
37,3045,台灣大,306000,0.34%
38,5904,寶雅,57000,0.34%
39,3481,群創光電,526000,0.33%
40,6196,帆宣,66000,0.33%
41,3357,臺慶科,119000,0.32%
42,3406,玉晶光,53000,0.32%
43,4904,遠傳,327000,0.32%
44,2412,中華電,237000,0.31%
45,2618,長榮航,751000,0.31%
46,2637,慧洋-KY,455000,0.31%
47,3044,健鼎科技,65000,0.30%
48,6147,頎邦,138000,0.27%
49,3008,大立光電,5000,0.20%
50,1303,南亞,136000,0.19%
