序號,股票代號,股票名稱,股數,權重(%)
1,3105,穩懋,2623000,8.29%
2,2330,台積電,532000,8.10%
3,3702,大聯大,10943000,8.10%
4,2313,華通,3680000,8.05%
5,3037,欣興,1730000,7.56%
6,2347,聯強,2584000,1.68%
7,5274,信驊科技,15000,1.48%
8,2481,強茂,1764000,1.41%
9,2337,旺宏,1290000,1.40%
10,3131,弘塑科技,54000,1.40%
11,7751,竑騰,100000,1.40%
12,6515,穎崴,25000,1.39%
13,2891,中信金,2904000,1.33%
14,6223,旺矽,42000,1.33%
15,2883,凱基金控,7853000,1.32%
16,3023,信邦,600000,1.32%
17,2383,台光電子,56000,1.31%
18,1303,南亞,2011000,1.30%
19,1590,亞德客-KY,155000,1.30%
20,2603,長榮海運,760000,1.30%
21,2882,國泰金,2156000,1.30%
22,2404,漢唐,185000,1.29%
23,2606,裕民,2611000,1.29%
24,3293,鈊象,203000,1.29%
25,3583,辛耘,333000,1.29%
26,4904,遠傳,1658000,1.29%
27,5904,寶雅,309000,1.29%
28,2308,台達電子,106000,1.28%
29,2344,華邦電子,1653000,1.28%
30,2395,研華,469000,1.28%
31,2412,中華電,1138000,1.28%
32,2885,元大金,3306000,1.28%
33,1560,中砂,340000,1.27%
34,2345,智邦,95000,1.27%
35,2368,金像電子,167000,1.27%
36,3017,奇鋐,73000,1.27%
37,3036,文曄,672000,1.27%
38,3264,欣銓,936000,1.27%
39,4958,臻鼎-KY,706000,1.27%
40,6770,力積電,2824000,1.27%
41,3044,健鼎科技,431000,1.26%
42,3481,群創光電,6093000,1.26%
43,6505,台塑石化,2731000,1.26%
44,2327,國巨*,598000,1.24%
45,2360,致茂,96000,1.24%
46,3533,嘉澤端子,72000,1.24%
47,8996,高力,170000,1.24%
48,3260,威剛科技,379000,1.15%
49,6213,聯茂,780000,1.12%
50,3665,貿聯-KY,69000,1.11%
51,6805,富世達,32000,0.51%
