序號,股票代號,股票名稱,股數,權重(%)
1,3036,文曄,5097000,9.71%
2,2412,中華電,8555000,8.72%
3,2330,台積電,576000,8.13%
4,2303,聯電,16266000,7.37%
5,2454,聯發科,466000,5.98%
6,3044,健鼎科技,1875000,5.19%
7,2344,華邦電子,2944000,2.79%
8,3037,欣興,524000,2.25%
9,1590,亞德客-KY,285000,2.17%
10,2327,國巨*,1011000,2.10%
11,3167,大量,565000,1.46%
12,6515,穎崴,27000,1.45%
13,8996,高力,203000,1.43%
14,2360,致茂,122000,1.42%
15,2383,台光電子,69000,1.38%
16,2337,旺宏,1290000,1.37%
17,3533,嘉澤端子,89000,1.26%
18,2313,華通,732000,1.25%
19,2368,金像電子,183000,1.24%
20,3105,穩懋,519000,1.24%
21,6770,力積電,2312000,1.23%
22,2308,台達電子,106000,1.15%
23,2345,智邦,93000,1.10%
24,3653,健策,37000,1.09%
25,3017,奇鋐,79000,1.08%
26,6223,旺矽,39000,1.08%
27,3715,定穎投控,829000,1.07%
28,3481,群創光電,5066000,1.05%
29,1303,南亞,1634000,1.04%
30,6285,啟碁科技,802000,1.03%
31,1815,富喬工業,1226000,1.02%
32,2883,凱基金控,6430000,0.98%
33,6805,富世達,71000,0.97%
34,8358,金居開發,479000,0.97%
35,3324,雙鴻科技,124000,0.95%
36,1560,中砂,260000,0.94%
37,3491,昇達科技,88000,0.94%
38,2449,京元電子,389000,0.93%
39,6274,台燿,235000,0.93%
40,8021,尖點,482000,0.93%
41,6442,光聖,67000,0.92%
42,8299,群聯電子,63000,0.92%
43,3264,欣銓,793000,0.91%
44,6446,藥華醫藥,178000,0.89%
45,2882,國泰金,1619000,0.88%
46,6290,良維,542000,0.88%
47,4722,國精化學,610000,0.86%
48,1519,華城,121000,0.83%
49,5274,信驊科技,9000,0.82%
50,7751,竑騰,50000,0.58%
