序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,465000,9.59%
2,2454,聯發科,160000,6.29%
3,2383,台光電子,137000,5.78%
4,6223,旺矽,119000,5.70%
5,6274,台燿,327000,4.51%
6,2308,台達電子,219000,4.49%
7,2327,國巨*,598000,4.39%
8,3017,奇鋐,174000,4.08%
9,3037,欣興,480000,4.06%
10,6515,穎崴,53000,3.72%
11,2344,華邦電子,2295000,3.68%
12,2345,智邦,173000,3.64%
13,5274,信驊科技,23000,3.61%
14,6669,緯穎,74000,3.52%
15,2303,聯電,2604000,3.20%
16,2368,金像電子,230000,2.55%
17,3443,創意電子,63000,2.48%
18,4958,臻鼎-KY,482000,2.18%
19,2360,致茂,102000,2.14%
20,3711,日月光投控,383000,1.96%
21,3264,欣銓,775000,1.44%
22,8046,南電,157000,1.18%
23,6147,頎邦,425000,1.04%
24,3702,大聯大,961000,0.99%
25,3036,文曄,261000,0.66%
26,3189,景碩科技,102000,0.66%
27,3665,貿聯-KY,33000,0.63%
28,3042,晶技,322000,0.59%
29,5289,宜鼎國際,36000,0.59%
30,8021,尖點,144000,0.56%
31,2881,富邦金控,549000,0.54%
32,6239,力成,170000,0.51%
33,2883,凱基金控,2328000,0.47%
34,3491,昇達科技,26000,0.47%
35,8028,昇陽半導體,157000,0.46%
36,3044,健鼎科技,99000,0.44%
37,1560,中砂,63000,0.38%
38,2481,強茂,297000,0.38%
39,2606,裕民,606000,0.38%
40,6446,藥華醫藥,49000,0.38%
41,8210,勤誠興業,32000,0.38%
42,2049,上銀科技,118000,0.37%
43,6285,啟碁科技,140000,0.37%
44,7769,鴻勁,6000,0.37%
45,2313,華通,144000,0.34%
46,6415,矽力*-KY,67000,0.34%
47,6531,愛普科技,36000,0.34%
48,4749,新應材,31000,0.28%
49,3533,嘉澤端子,12000,0.27%
50,2059,川湖,6000,0.26%
51,8358,金居開發,36000,0.20%
52,4991,環宇-KY,28000,0.17%
