序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,572000,13.62%
2,6223,旺矽,98000,5.84%
3,2454,聯發科,114000,4.36%
4,2383,台光電子,76000,3.87%
5,2059,川湖,37000,2.98%
6,2308,台達電子,154000,2.87%
7,2345,智邦,126000,2.86%
8,2344,華邦電子,1664000,2.82%
9,6274,台燿,205000,2.76%
10,3037,欣興,301000,2.71%
11,2303,聯電,1900000,2.62%
12,2327,國巨*,370000,2.58%
13,3711,日月光投控,388000,2.53%
14,5274,信驊科技,15600,2.40%
15,8046,南電,185000,2.40%
16,6515,穎崴,36000,2.32%
17,3189,景碩科技,277000,2.19%
18,3017,奇鋐,93000,2.09%
19,6669,緯穎,37000,2.02%
20,2883,凱基金控,6476000,1.96%
21,2408,南亞科,431000,1.91%
22,7769,鴻勁,30000,1.91%
23,2360,致茂,80000,1.69%
24,2890,永豐金控,3511000,1.41%
25,3653,健策,39000,1.35%
26,3443,創意電子,31000,1.34%
27,2368,金像電子,136000,1.27%
28,4958,臻鼎-KY,228000,1.27%
29,3264,欣銓,582000,1.25%
30,2881,富邦金控,918000,1.16%
31,6488,環球晶圓,89000,1.10%
32,2885,元大金,1729000,1.08%
33,6446,藥華醫藥,78228,0.92%
34,1303,南亞,436000,0.90%
35,8358,金居開發,216000,0.88%
36,2891,中信金,1112000,0.71%
37,3702,大聯大,570000,0.67%
38,2637,慧洋-KY,719000,0.60%
39,6196,帆宣,109000,0.59%
40,2395,研華,98000,0.58%
41,2347,聯強,656000,0.57%
42,2618,長榮航,1369000,0.57%
43,4904,遠傳,560000,0.57%
44,2882,國泰金,540000,0.52%
45,2412,中華電,360000,0.49%
46,2027,大成鋼,1035000,0.45%
47,1301,台塑,688000,0.43%
48,3481,群創光電,805000,0.42%
49,8021,尖點,98000,0.41%
50,6257,矽格,164000,0.36%
