序號,股票代號,股票名稱,股數,權重(%)
1,2337,旺宏,6741000,8.55%
2,2330,台積電,469000,8.27%
3,6515,穎崴,91000,7.35%
4,3037,欣興,1052000,6.91%
5,3105,穩懋,1486000,5.91%
6,3702,大聯大,7318000,5.80%
7,2383,台光電子,117000,4.08%
8,3189,景碩科技,968000,3.92%
9,2313,華通,1898000,3.62%
10,7751,竑騰,150000,3.24%
11,6584,南俊國際,273000,1.54%
12,6213,聯茂,732000,1.48%
13,4958,臻鼎-KY,379000,1.19%
14,2368,金像電子,105000,1.16%
15,8996,高力,122000,1.14%
16,1590,亞德客-KY,101000,1.13%
17,6805,富世達,66000,1.10%
18,3260,威剛科技,282000,1.09%
19,6223,旺矽,28000,1.09%
20,2345,智邦,59000,1.08%
21,3044,健鼎科技,300000,1.08%
22,3533,嘉澤端子,51000,1.08%
23,2308,台達電子,63000,1.07%
24,3665,貿聯-KY,51000,1.07%
25,3017,奇鋐,47000,1.04%
26,5274,信驊科技,8000,1.03%
27,2883,凱基金控,5928000,1.01%
28,1303,南亞,1393000,0.99%
29,2360,致茂,60000,0.99%
30,3264,欣銓,628000,0.99%
31,2327,國巨*,378000,0.98%
32,1560,中砂,229000,0.97%
33,2404,漢唐,123000,0.95%
34,2606,裕民,1951000,0.94%
35,3036,文曄,526000,0.87%
36,5289,宜鼎國際,55000,0.57%
37,2347,聯強,809000,0.53%
38,7769,鴻勁,13000,0.53%
39,8046,南電,70000,0.52%
40,1815,富喬工業,565000,0.51%
41,4749,新應材,65000,0.51%
42,6285,啟碁科技,295000,0.51%
43,2027,大成鋼,1664000,0.50%
44,2049,上銀科技,209000,0.50%
45,2454,聯發科,24000,0.50%
46,2610,華航,3472000,0.50%
47,3491,昇達科技,39000,0.50%
48,5234,達興材料,147000,0.50%
49,6669,緯穎,13000,0.50%
50,2618,長榮航,1841000,0.49%
51,2885,元大金,1143000,0.48%
52,8210,勤誠興業,51000,0.48%
53,2395,研華,161000,0.47%
54,3023,信邦,210000,0.46%
55,2481,強茂,570000,0.45%
56,4904,遠傳,586000,0.44%
