序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,448000,9.39%
2,2454,聯發科,190000,7.36%
3,6223,旺矽,111000,5.97%
4,2383,台光電子,117000,5.39%
5,2308,台達電子,230000,4.71%
6,6274,台燿,308000,4.30%
7,2327,國巨*,533000,4.07%
8,6669,緯穎,82000,3.87%
9,6515,穎崴,46000,3.48%
10,5274,信驊科技,22000,3.45%
11,2344,華邦電子,2440000,3.39%
12,2345,智邦,132000,2.91%
13,3037,欣興,335000,2.76%
14,3017,奇鋐,111000,2.44%
15,4958,臻鼎-KY,482000,2.25%
16,2360,致茂,105000,2.16%
17,2303,聯電,1947000,2.15%
18,2368,金像電子,152000,2.01%
19,2408,南亞科,592000,1.84%
20,3443,創意電子,44000,1.65%
21,8046,南電,206000,1.63%
22,8210,勤誠興業,107000,1.44%
23,3711,日月光投控,272000,1.37%
24,2885,元大金,2004000,1.16%
25,3264,欣銓,557000,1.10%
26,2881,富邦金控,915000,1.04%
27,2882,國泰金,1120000,1.04%
28,3665,貿聯-KY,47000,0.94%
29,2883,凱基金控,2689000,0.71%
30,3189,景碩科技,102000,0.63%
31,3406,玉晶光,95000,0.60%
32,6147,頎邦,280000,0.59%
33,2347,聯強,670000,0.58%
34,3702,大聯大,572000,0.58%
35,2891,中信金,839000,0.53%
36,2637,慧洋-KY,703000,0.50%
37,2027,大成鋼,1241000,0.49%
38,4904,遠傳,492000,0.49%
39,6239,力成,170000,0.48%
40,5904,寶雅,82000,0.46%
41,3023,信邦,157000,0.45%
42,6196,帆宣,96000,0.45%
43,8021,尖點,86000,0.45%
44,2606,裕民,679000,0.43%
45,3036,文曄,184000,0.41%
46,3042,晶技,201000,0.40%
47,5536,聖暉*,39000,0.40%
48,8358,金居開發,75000,0.39%
49,3045,台灣大,345000,0.38%
50,4722,國精化學,178000,0.37%
51,6139,亞翔工程,51000,0.35%
52,8028,昇陽半導體,112000,0.33%
53,4991,環宇-KY,1000,0.01%
