序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,508000,12.09%
2,6223,旺矽,106000,6.89%
3,2383,台光電子,86000,4.85%
4,2454,聯發科,118000,4.66%
5,2059,川湖,33000,3.91%
6,5274,信驊科技,22600,3.86%
7,3037,欣興,386000,3.80%
8,6274,台燿,239000,3.76%
9,2408,南亞科,640000,3.04%
10,2308,台達電子,170000,3.00%
11,6669,緯穎,49000,2.91%
12,6515,穎崴,40000,2.82%
13,3189,景碩科技,333000,2.81%
14,2345,智邦,128000,2.79%
15,3711,日月光投控,413000,2.52%
16,3017,奇鋐,85000,2.43%
17,8046,南電,185000,2.30%
18,2344,華邦電子,1209000,2.11%
19,2327,國巨*,337000,2.00%
20,2303,聯電,1603000,1.94%
21,7769,鴻勁,29000,1.85%
22,2360,致茂,85000,1.84%
23,2885,元大金,2660000,1.80%
24,3443,創意電子,34000,1.72%
25,3653,健策,33000,1.45%
26,3081,聯亞光電,53000,1.42%
27,3264,欣銓,603000,1.29%
28,2890,永豐金控,3045220,1.19%
29,3008,大立光電,26000,1.17%
30,2883,凱基金控,3623000,1.11%
31,2881,富邦金控,561000,0.70%
32,2347,聯強,715000,0.64%
33,5289,宜鼎國際,39000,0.58%
34,2891,中信金,868000,0.57%
35,2618,長榮航,1219000,0.51%
36,6446,藥華醫藥,35228,0.50%
37,1303,南亞,250000,0.47%
38,2395,研華,69000,0.47%
39,3702,大聯大,386000,0.47%
40,2882,國泰金,437000,0.43%
41,2027,大成鋼,890000,0.41%
42,4904,遠傳,406000,0.40%
43,2412,中華電,289000,0.39%
44,3231,緯創,194000,0.37%
45,2610,華航,1434000,0.29%
46,3293,鈊象,38000,0.29%
47,1590,亞德客-KY,17000,0.27%
48,3481,群創光電,549000,0.27%
49,1301,台塑,420000,0.23%
50,6257,矽格,100000,0.21%
