序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,452000,9.44%
2,2454,聯發科,194000,7.32%
3,6223,旺矽,113000,6.62%
4,2383,台光電子,117000,5.10%
5,2308,台達電子,235000,4.70%
6,2327,國巨*,576000,4.45%
7,6274,台燿,327000,4.22%
8,6515,穎崴,46000,3.98%
9,2344,華邦電子,2440000,3.79%
10,5274,信驊科技,22000,3.66%
11,6669,緯穎,83000,3.64%
12,2345,智邦,132000,2.78%
13,3037,欣興,314000,2.56%
14,3017,奇鋐,106000,2.30%
15,2303,聯電,1791000,2.16%
16,2360,致茂,98000,2.03%
17,2368,金像電子,162000,1.93%
18,2408,南亞科,565000,1.91%
19,3443,創意電子,44000,1.74%
20,8046,南電,216000,1.60%
21,3665,貿聯-KY,74000,1.54%
22,8210,勤誠興業,114000,1.52%
23,3189,景碩科技,272000,1.50%
24,3711,日月光投控,255000,1.36%
25,2885,元大金,2062000,1.19%
26,3264,欣銓,545000,1.12%
27,2882,國泰金,1144000,1.04%
28,2881,富邦金控,915000,1.01%
29,2883,凱基金控,2780000,0.69%
30,2347,聯強,719000,0.58%
31,3702,大聯大,615000,0.58%
32,3406,玉晶光,95000,0.57%
33,2891,中信金,889000,0.54%
34,6147,頎邦,258000,0.52%
35,2027,大成鋼,1299000,0.51%
36,2637,慧洋-KY,703000,0.50%
37,4904,遠傳,510000,0.50%
38,6196,帆宣,100000,0.49%
39,5904,寶雅,82000,0.48%
40,3023,信邦,157000,0.45%
41,4958,臻鼎-KY,90000,0.45%
42,5536,聖暉*,41000,0.44%
43,2606,裕民,700000,0.43%
44,8021,尖點,86000,0.41%
45,3042,晶技,199000,0.40%
46,6139,亞翔工程,54000,0.39%
47,8358,金居開發,75000,0.39%
48,3036,文曄,184000,0.38%
49,3045,台灣大,356000,0.38%
50,4722,國精化學,184000,0.38%
51,8028,昇陽半導體,126000,0.36%
