序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,452000,9.83%
2,6223,旺矽,115000,6.95%
3,2327,國巨*,628000,5.92%
4,2383,台光電子,115000,5.62%
5,2344,華邦電子,2548000,4.89%
6,2454,聯發科,135000,4.87%
7,6274,台燿,289000,4.24%
8,3037,欣興,409000,3.71%
9,2303,聯電,2327000,3.55%
10,6515,穎崴,45000,3.42%
11,2308,台達電子,196000,3.30%
12,2345,智邦,148000,3.27%
13,5274,信驊科技,22000,3.19%
14,3017,奇鋐,127000,2.66%
15,4958,臻鼎-KY,472000,2.54%
16,3189,景碩科技,314000,2.33%
17,2408,南亞科,557000,2.32%
18,3711,日月光投控,331000,1.94%
19,2368,金像電子,164000,1.81%
20,5536,聖暉*,147000,1.78%
21,6669,緯穎,42000,1.67%
22,8358,金居開發,313000,1.66%
23,3443,創意電子,40000,1.64%
24,3264,欣銓,712000,1.42%
25,3665,貿聯-KY,79000,1.36%
26,2881,富邦金控,884000,1.10%
27,2885,元大金,1184000,0.73%
28,2883,凱基金控,2420000,0.67%
29,2890,永豐金控,1681000,0.61%
30,2882,國泰金,606000,0.60%
31,2891,中信金,863000,0.56%
32,8996,高力,44000,0.56%
33,2347,聯強,510000,0.44%
34,8021,尖點,86000,0.43%
35,2472,立隆,110000,0.38%
36,3045,台灣大,306000,0.34%
37,3406,玉晶光,53000,0.34%
38,5904,寶雅,57000,0.34%
39,6446,藥華醫藥,32000,0.34%
40,3357,臺慶科,119000,0.33%
41,4904,遠傳,327000,0.33%
42,6196,帆宣,66000,0.33%
43,3481,群創光電,526000,0.32%
44,2412,中華電,237000,0.31%
45,2618,長榮航,751000,0.31%
46,3044,健鼎科技,65000,0.31%
47,2637,慧洋-KY,455000,0.30%
48,6147,頎邦,138000,0.28%
49,3008,大立光電,5000,0.22%
50,1303,南亞,136000,0.19%
