序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,378000,8.84%
2,2383,台光電子,114000,6.07%
3,6223,旺矽,115000,5.73%
4,3037,欣興,563000,5.46%
5,3017,奇鋐,158000,5.26%
6,2059,川湖,32000,4.41%
7,6274,台燿,306000,4.26%
8,2408,南亞科,778000,4.10%
9,5274,信驊科技,25600,3.99%
10,2454,聯發科,102000,3.89%
11,6669,緯穎,55000,3.79%
12,2345,智邦,151000,2.98%
13,8046,南電,247000,2.95%
14,2344,華邦電子,1610000,2.85%
15,3443,創意電子,48000,2.84%
16,3189,景碩科技,354000,2.82%
17,6515,穎崴,39000,2.38%
18,3653,健策,36000,2.09%
19,2308,台達電子,110000,1.97%
20,3665,貿聯-KY,88000,1.85%
21,2303,聯電,1435000,1.80%
22,7769,鴻勁,26000,1.48%
23,5289,宜鼎國際,94872,1.34%
24,2327,國巨*,243000,1.29%
25,3711,日月光投控,200000,1.13%
26,3081,聯亞光電,25000,0.86%
27,8299,群聯電子,36000,0.76%
28,2337,旺宏,444000,0.54%
29,2301,光寶科技,175000,0.52%
30,2455,全新,113000,0.52%
31,6187,萬潤科技,38000,0.50%
32,2467,志聖,82000,0.49%
33,2885,元大金,773360,0.49%
34,2347,聯強,567000,0.48%
35,2883,凱基金控,1458000,0.48%
36,2368,金像電子,41000,0.46%
37,8358,金居開發,87000,0.46%
38,2890,永豐金控,1134220,0.45%
39,3231,緯創,260000,0.45%
40,3264,欣銓,195000,0.43%
41,3491,昇達科技,32000,0.43%
42,2360,致茂,22000,0.42%
43,6584,南俊國際,65000,0.40%
44,2395,研華,59000,0.39%
45,8996,高力,34000,0.39%
46,1560,中砂,57000,0.38%
47,6196,帆宣,79000,0.37%
48,6139,亞翔工程,48000,0.35%
49,6213,聯茂,66000,0.35%
50,3661,世芯-KY,8000,0.32%
