序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,572000,13.98%
2,6223,旺矽,98000,5.82%
3,2454,聯發科,114000,4.45%
4,2383,台光電子,76000,3.76%
5,2059,川湖,37000,2.98%
6,2345,智邦,126000,2.91%
7,2308,台達電子,154000,2.86%
8,2344,華邦電子,1749000,2.81%
9,6274,台燿,216000,2.81%
10,3037,欣興,301000,2.63%
11,5274,信驊科技,16600,2.55%
12,2303,聯電,1900000,2.53%
13,3711,日月光投控,388000,2.48%
14,2327,國巨*,370000,2.47%
15,6515,穎崴,36000,2.36%
16,3017,奇鋐,93000,2.30%
17,6669,緯穎,37000,2.21%
18,8046,南電,185000,2.14%
19,2408,南亞科,503000,2.10%
20,2883,凱基金控,6476000,2.07%
21,3189,景碩科技,277000,2.05%
22,7769,鴻勁,30000,1.89%
23,2360,致茂,83000,1.80%
24,4958,臻鼎-KY,320000,1.61%
25,2890,永豐金控,3651220,1.47%
26,3443,創意電子,33000,1.40%
27,3653,健策,39000,1.39%
28,3264,欣銓,595000,1.30%
29,2368,金像電子,136000,1.28%
30,2881,富邦金控,918000,1.22%
31,2885,元大金,1729000,1.14%
32,6488,環球晶圓,96000,1.03%
33,6446,藥華醫藥,79228,0.94%
34,8358,金居開發,230000,0.88%
35,1303,南亞,456000,0.84%
36,2891,中信金,1112000,0.74%
37,3702,大聯大,570000,0.70%
38,2637,慧洋-KY,739000,0.64%
39,4904,遠傳,560000,0.62%
40,2347,聯強,656000,0.61%
41,2395,研華,101000,0.61%
42,6196,帆宣,109000,0.60%
43,2618,長榮航,1369000,0.58%
44,2882,國泰金,543000,0.55%
45,2412,中華電,360000,0.52%
46,2027,大成鋼,1070000,0.49%
47,1301,台塑,688000,0.45%
48,3481,群創光電,817000,0.42%
49,8021,尖點,99000,0.38%
50,6257,矽格,164000,0.37%
