序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,518000,12.54%
2,6223,旺矽,109000,6.87%
3,2454,聯發科,121000,4.88%
4,2383,台光電子,88000,4.66%
5,5274,信驊科技,23600,3.81%
6,3037,欣興,376000,3.68%
7,6274,台燿,216000,3.20%
8,2059,川湖,33000,3.15%
9,2345,智邦,131000,3.15%
10,6669,緯穎,50000,3.12%
11,2408,南亞科,654000,2.94%
12,2308,台達電子,174000,2.90%
13,6515,穎崴,41000,2.85%
14,3189,景碩科技,317000,2.65%
15,3711,日月光投控,421000,2.52%
16,3017,奇鋐,87000,2.40%
17,2344,華邦電子,1235000,2.11%
18,2303,聯電,1635000,2.01%
19,2327,國巨*,344000,2.01%
20,7769,鴻勁,30000,1.98%
21,8046,南電,185000,1.98%
22,2885,元大金,2712000,1.90%
23,2360,致茂,87000,1.65%
24,3443,創意電子,35000,1.55%
25,3653,健策,33000,1.45%
26,3264,欣銓,616000,1.26%
27,2890,永豐金控,3102220,1.24%
28,2883,凱基金控,3695000,1.18%
29,3008,大立光電,25000,1.15%
30,2881,富邦金控,572000,0.75%
31,2347,聯強,725000,0.71%
32,2891,中信金,885000,0.59%
33,5289,宜鼎國際,40000,0.59%
34,2618,長榮航,1243000,0.55%
35,3702,大聯大,395000,0.51%
36,6446,藥華醫藥,36228,0.49%
37,1303,南亞,255000,0.46%
38,2395,研華,71000,0.45%
39,2882,國泰金,446000,0.45%
40,4904,遠傳,414000,0.42%
41,2027,大成鋼,908000,0.41%
42,2412,中華電,295000,0.41%
43,3231,緯創,198000,0.39%
44,2610,華航,1463000,0.33%
45,3293,鈊象,39000,0.31%
46,1590,亞德客-KY,18000,0.27%
47,3481,群創光電,561000,0.27%
48,1301,台塑,429000,0.24%
49,6257,矽格,103000,0.21%
