序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,502000,11.94%
2,6223,旺矽,104000,6.60%
3,2454,聯發科,116000,4.79%
4,2383,台光電子,85000,4.72%
5,2059,川湖,33000,3.94%
6,3037,欣興,386000,3.77%
7,6274,台燿,239000,3.74%
8,5274,信驊科技,21600,3.69%
9,2408,南亞科,633000,3.18%
10,2308,台達電子,168000,3.09%
11,6669,緯穎,48000,2.85%
12,2345,智邦,126000,2.79%
13,3189,景碩科技,333000,2.77%
14,3017,奇鋐,84000,2.63%
15,6515,穎崴,39000,2.57%
16,3711,日月光投控,408000,2.49%
17,8046,南電,183000,2.17%
18,2327,國巨*,333000,2.15%
19,2344,華邦電子,1196000,2.07%
20,2303,聯電,1587000,1.93%
21,2360,致茂,84000,1.89%
22,7769,鴻勁,28000,1.85%
23,2885,元大金,2634000,1.79%
24,3443,創意電子,33000,1.79%
25,3653,健策,33000,1.49%
26,3081,聯亞光電,53000,1.38%
27,3264,欣銓,597000,1.34%
28,2890,永豐金控,3016220,1.18%
29,3008,大立光電,25000,1.14%
30,2883,凱基金控,3587000,1.10%
31,2881,富邦金控,555000,0.70%
32,2347,聯強,707000,0.63%
33,5289,宜鼎國際,38000,0.57%
34,2891,中信金,859000,0.56%
35,2618,長榮航,1206000,0.48%
36,6446,藥華醫藥,34228,0.48%
37,1303,南亞,247000,0.46%
38,2395,研華,68000,0.46%
39,3702,大聯大,381000,0.46%
40,2027,大成鋼,882000,0.43%
41,2882,國泰金,432000,0.42%
42,4904,遠傳,401000,0.39%
43,2412,中華電,286000,0.38%
44,3231,緯創,192000,0.37%
45,2610,華航,1419000,0.28%
46,3293,鈊象,37000,0.28%
47,3481,群創光電,543000,0.26%
48,1301,台塑,416000,0.23%
49,1590,亞德客-KY,16000,0.23%
50,6257,矽格,99000,0.21%
