序號,股票代號,股票名稱,股數,權重(%)
1,3037,欣興,1802000,9.22%
2,2337,旺宏,7143000,8.60%
3,2330,台積電,495000,8.04%
4,2313,華通,3370000,7.67%
5,3702,大聯大,9329000,7.36%
6,6515,穎崴,105000,7.34%
7,3105,穩懋,1862000,6.96%
8,3583,辛耘,218000,1.25%
9,6213,聯茂,743000,1.24%
10,6223,旺矽,32000,1.19%
11,2347,聯強,1750000,1.17%
12,2383,台光電子,41000,1.11%
13,3264,欣銓,713000,1.11%
14,2368,金像電子,126000,1.09%
15,3665,貿聯-KY,60000,1.09%
16,5274,信驊科技,11000,1.09%
17,8996,高力,122000,1.09%
18,2308,台達電子,75000,1.07%
19,4958,臻鼎-KY,499000,1.05%
20,2345,智邦,70000,1.04%
21,1590,亞德客-KY,115000,1.03%
22,1560,中砂,241000,1.02%
23,3131,弘塑科技,36000,1.02%
24,1303,南亞,1442000,1.01%
25,2327,國巨*,402000,1.00%
26,2360,致茂,65000,1.00%
27,2404,漢唐,128000,0.97%
28,2606,裕民,1952000,0.97%
29,2883,凱基金控,5655000,0.97%
30,2395,研華,343000,0.96%
31,3481,群創光電,4457000,0.96%
32,3533,嘉澤端子,52000,0.96%
33,2481,強茂,1150000,0.95%
34,2885,元大金,2462000,0.95%
35,3017,奇鋐,53000,0.95%
36,3023,信邦,427000,0.95%
37,3044,健鼎科技,312000,0.95%
38,2882,國泰金,1605000,0.94%
39,2344,華邦電子,1211000,0.93%
40,4904,遠傳,1213000,0.93%
41,2412,中華電,840000,0.92%
42,2603,長榮海運,564000,0.92%
43,2891,中信金,2122000,0.92%
44,6805,富世達,64000,0.92%
45,5904,寶雅,221000,0.91%
46,3036,文曄,483000,0.90%
47,3293,鈊象,141000,0.88%
48,3260,威剛科技,292000,0.87%
49,6505,台塑石化,1903000,0.86%
