序號,股票代號,股票名稱,股數,權重(%)
1,2337,旺宏,7020000,9.51%
2,6515,穎崴,96000,7.93%
3,2330,台積電,447000,7.90%
4,3189,景碩科技,1894000,7.80%
5,3702,大聯大,6340000,5.24%
6,3105,穩懋,1189000,4.84%
7,2383,台光電子,120000,4.32%
8,6584,南俊國際,548000,3.14%
9,7751,竑騰,150000,3.08%
10,3037,欣興,273000,1.78%
11,6213,聯茂,732000,1.50%
12,5289,宜鼎國際,114000,1.22%
13,5274,信驊科技,9000,1.21%
14,2883,凱基金控,6826000,1.20%
15,3260,威剛科技,319000,1.18%
16,4958,臻鼎-KY,364000,1.13%
17,2313,華通,602000,1.12%
18,2345,智邦,62000,1.11%
19,6805,富世達,66000,1.11%
20,2327,國巨*,422000,1.10%
21,2360,致茂,66000,1.10%
22,7769,鴻勁,26000,1.10%
23,2308,台達電子,62000,1.09%
24,2454,聯發科,52000,1.09%
25,6223,旺矽,27000,1.08%
26,8046,南電,145000,1.08%
27,2027,大成鋼,3389000,1.06%
28,3036,文曄,645000,1.06%
29,1303,南亞,1407000,1.05%
30,1590,亞德客-KY,87000,1.05%
31,1815,富喬工業,1169000,1.05%
32,2049,上銀科技,418000,1.05%
33,3533,嘉澤端子,49000,1.05%
34,6285,啟碁科技,606000,1.05%
35,4749,新應材,127000,1.04%
36,5234,達興材料,278000,1.04%
37,2610,華航,7005000,1.03%
38,3491,昇達科技,82000,1.03%
39,6669,緯穎,26000,1.02%
40,1560,中砂,240000,1.01%
41,2606,裕民,2050000,1.01%
42,2368,金像電子,91000,1.00%
43,2618,長榮航,3621000,1.00%
44,2404,漢唐,127000,0.99%
45,3665,貿聯-KY,44000,0.99%
46,3044,健鼎科技,261000,0.96%
47,8210,勤誠興業,106000,0.96%
48,3264,欣銓,590000,0.95%
49,3017,奇鋐,41000,0.94%
