序號,股票代號,股票名稱,股數,權重(%)
1,3036,文曄,4848000,8.97%
2,2412,中華電,8193000,8.84%
3,2330,台積電,550000,8.06%
4,2303,聯電,15593000,7.26%
5,2454,聯發科,445000,5.68%
6,3044,健鼎科技,1800000,5.20%
7,1590,亞德客-KY,272000,2.17%
8,3037,欣興,524000,2.13%
9,2344,華邦電子,2824000,2.10%
10,2327,國巨*,968000,2.03%
11,3167,大量,565000,1.69%
12,6515,穎崴,25000,1.59%
13,3105,穩懋,498000,1.53%
14,3533,嘉澤端子,84000,1.53%
15,2313,華通,701000,1.52%
16,2360,致茂,116000,1.51%
17,2383,台光電子,64000,1.50%
18,8996,高力,195000,1.36%
19,3017,奇鋐,74000,1.31%
20,7751,竑騰,100000,1.31%
21,2337,旺宏,1290000,1.30%
22,3715,定穎投控,794000,1.30%
23,2368,金像電子,174000,1.29%
24,2308,台達電子,100000,1.22%
25,6285,啟碁科技,769000,1.17%
26,2345,智邦,87000,1.16%
27,3491,昇達科技,86000,1.15%
28,6274,台燿,224000,1.13%
29,6442,光聖,64000,1.09%
30,3653,健策,33000,1.07%
31,6770,力積電,2217000,1.06%
32,1815,富喬工業,1196000,1.03%
33,6223,旺矽,35000,1.03%
34,6805,富世達,66000,1.01%
35,8021,尖點,460000,0.99%
36,2883,凱基金控,6158000,0.98%
37,3481,群創光電,4856000,0.97%
38,3264,欣銓,758000,0.96%
39,1303,南亞,1566000,0.94%
40,3324,雙鴻科技,118000,0.94%
41,1560,中砂,247000,0.91%
42,6290,良維,517000,0.89%
43,8358,金居開發,467000,0.89%
44,2882,國泰金,1549000,0.88%
45,6446,藥華醫藥,168000,0.87%
46,2449,京元電子,370000,0.83%
47,4722,國精化學,584000,0.81%
48,1519,華城,114000,0.79%
49,8299,群聯電子,58000,0.73%
50,5274,信驊科技,5000,0.47%
