序號,股票代號,股票名稱,股數,權重(%)
1,2337,旺宏,7110000,9.21%
2,3189,景碩科技,1859000,7.88%
3,2330,台積電,419000,7.58%
4,6515,穎崴,93000,7.52%
5,3702,大聯大,6264000,5.16%
6,3105,穩懋,1101000,4.92%
7,2383,台光電子,117000,4.45%
8,7751,竑騰,150000,3.20%
9,6584,南俊國際,541000,3.11%
10,3037,欣興,240000,1.74%
11,6213,聯茂,732000,1.67%
12,5274,信驊科技,9000,1.29%
13,5289,宜鼎國際,110000,1.26%
14,2883,凱基金控,6899000,1.21%
15,2454,聯發科,47000,1.19%
16,2313,華通,533000,1.18%
17,8046,南電,145000,1.16%
18,7769,鴻勁,25000,1.13%
19,1303,南亞,1463000,1.11%
20,2360,致茂,62000,1.11%
21,2327,國巨*,393000,1.10%
22,2345,智邦,55000,1.10%
23,3260,威剛科技,306000,1.10%
24,4958,臻鼎-KY,322000,1.10%
25,2049,上銀科技,418000,1.08%
26,1815,富喬工業,1146000,1.07%
27,6285,啟碁科技,572000,1.07%
28,6223,旺矽,26000,1.05%
29,2027,大成鋼,3410000,1.04%
30,2308,台達電子,60000,1.04%
31,2368,金像電子,87000,1.04%
32,8210,勤誠興業,102000,1.04%
33,6669,緯穎,27000,1.03%
34,3036,文曄,607000,1.02%
35,3264,欣銓,539000,1.02%
36,3665,貿聯-KY,44000,1.02%
37,5234,達興材料,296000,1.02%
38,1560,中砂,220000,1.01%
39,1590,亞德客-KY,87000,1.01%
40,2610,華航,6943000,1.01%
41,6805,富世達,63000,1.01%
42,2606,裕民,1988000,1.00%
43,4749,新應材,127000,1.00%
44,2618,長榮航,3637000,0.99%
45,3044,健鼎科技,253000,0.99%
46,3491,昇達科技,72000,0.98%
47,3533,嘉澤端子,49000,0.98%
48,2404,漢唐,122000,0.96%
49,3017,奇鋐,41000,0.89%
50,6274,台燿,45000,0.44%
