序號,股票代號,股票名稱,股數,權重(%)
1,6223,旺矽,182000,9.60%
2,2330,台積電,455000,9.25%
3,6515,穎崴,94000,7.94%
4,2383,台光電子,145000,5.93%
5,3443,創意電子,132000,5.65%
6,5274,信驊科技,35000,5.07%
7,2345,智邦,197000,4.32%
8,2308,台達電子,233000,4.15%
9,3017,奇鋐,165000,3.59%
10,3037,欣興,453000,3.47%
11,6669,緯穎,69000,3.15%
12,2327,國巨*,601000,2.91%
13,2368,金像電子,230000,2.64%
14,2344,華邦電子,2225000,2.39%
15,3264,欣銓,1107000,2.13%
16,7751,竑騰,150000,2.09%
17,2360,致茂,108000,2.07%
18,8046,南電,263000,2.03%
19,3702,大聯大,1327000,1.47%
20,2454,聯發科,46000,1.38%
21,6274,台燿,95000,1.06%
22,5289,宜鼎國際,59000,0.92%
23,7769,鴻勁,14000,0.91%
24,3653,健策,31000,0.87%
25,3036,文曄,303000,0.79%
26,2883,凱基金控,3298000,0.66%
27,4958,臻鼎-KY,158000,0.65%
28,8210,勤誠興業,52000,0.62%
29,3665,貿聯-KY,33000,0.60%
30,2408,南亞科,230000,0.59%
31,6213,聯茂,239000,0.53%
32,8299,群聯電子,25000,0.53%
33,3044,健鼎科技,119000,0.51%
34,6415,矽力*-KY,106000,0.50%
35,2049,上銀科技,148000,0.49%
36,8021,尖點,145000,0.49%
37,3533,嘉澤端子,22000,0.48%
38,3189,景碩科技,98000,0.46%
39,3491,昇達科技,27000,0.44%
40,3680,家登精密,93000,0.44%
41,3661,世芯-KY,10000,0.43%
42,4749,新應材,46000,0.43%
43,1590,亞德客-KY,32000,0.42%
44,6285,啟碁科技,160000,0.42%
45,2313,華通,155000,0.37%
46,1303,南亞,448000,0.34%
47,3105,穩懋,82000,0.34%
48,1815,富喬工業,341000,0.32%
49,6805,富世達,20000,0.32%
50,6640,均華,24000,0.28%
51,6584,南俊國際,47000,0.27%
