序號,股票代號,股票名稱,股數,權重(%)
1,2337,旺宏,7009000,8.99%
2,2330,台積電,412000,7.88%
3,6515,穎崴,91000,7.32%
4,3189,景碩科技,1828000,7.00%
5,3702,大聯大,6169000,5.85%
6,2383,台光電子,115000,4.56%
7,3105,穩懋,1081000,4.45%
8,6584,南俊國際,532000,2.97%
9,7751,竑騰,150000,2.43%
10,6213,聯茂,732000,1.76%
11,3037,欣興,235000,1.61%
12,5289,宜鼎國際,108000,1.44%
13,2454,聯發科,46000,1.40%
14,2883,凱基金控,6798000,1.30%
15,2327,國巨*,386000,1.25%
16,3036,文曄,597000,1.20%
17,8210,勤誠興業,100000,1.18%
18,6285,啟碁科技,563000,1.16%
19,7769,鴻勁,24000,1.16%
20,2360,致茂,61000,1.14%
21,3260,威剛科技,301000,1.13%
22,4749,新應材,125000,1.13%
23,5274,信驊科技,8000,1.13%
24,6669,緯穎,26000,1.13%
25,2027,大成鋼,3360000,1.11%
26,2313,華通,523000,1.11%
27,2049,上銀科技,411000,1.10%
28,6274,台燿,95000,1.09%
29,2308,台達電子,59000,1.08%
30,3533,嘉澤端子,48000,1.08%
31,1303,南亞,1441000,1.07%
32,1590,亞德客-KY,85000,1.07%
33,2345,智邦,54000,1.07%
34,2618,長榮航,3582000,1.07%
35,2606,裕民,1958000,1.06%
36,2610,華航,6838000,1.06%
37,4958,臻鼎-KY,316000,1.06%
38,6223,旺矽,25000,1.05%
39,1560,中砂,216000,1.03%
40,2404,漢唐,120000,1.02%
41,1815,富喬工業,1128000,1.01%
42,6805,富世達,61000,1.01%
43,8046,南電,142000,1.01%
44,3044,健鼎科技,249000,1.00%
45,3264,欣銓,529000,0.99%
46,3665,貿聯-KY,43000,0.99%
47,5234,達興材料,291000,0.99%
48,3491,昇達科技,70000,0.97%
49,2368,金像電子,85000,0.94%
50,3017,奇鋐,40000,0.82%
