序號,股票代號,股票名稱,股數,權重(%)
1,3105,穩懋,2623000,8.15%
2,2330,台積電,532000,8.13%
3,3702,大聯大,10943000,8.11%
4,2313,華通,3680000,8.07%
5,3037,欣興,524000,2.11%
6,2347,聯強,2584000,1.65%
7,6515,穎崴,25000,1.50%
8,2412,中華電,1329000,1.47%
9,3036,文曄,788000,1.46%
10,5274,信驊科技,15000,1.40%
11,2337,旺宏,1290000,1.35%
12,3044,健鼎科技,459000,1.34%
13,3533,嘉澤端子,76000,1.33%
14,2383,台光電子,56000,1.32%
15,1590,亞德客-KY,155000,1.31%
16,2344,華邦電子,1697000,1.30%
17,2345,智邦,95000,1.30%
18,2368,金像電子,167000,1.30%
19,3131,弘塑科技,54000,1.30%
20,6223,旺矽,40000,1.30%
21,2308,台達電子,106000,1.29%
22,2327,國巨*,622000,1.29%
23,2481,強茂,1764000,1.29%
24,2891,中信金,2904000,1.29%
25,5904,寶雅,309000,1.29%
26,2395,研華,469000,1.28%
27,2603,長榮海運,760000,1.28%
28,2606,裕民,2611000,1.28%
29,2882,國泰金,2156000,1.28%
30,2883,凱基金控,7853000,1.28%
31,2885,元大金,3306000,1.28%
32,3023,信邦,600000,1.28%
33,3264,欣銓,936000,1.28%
34,3293,鈊象,203000,1.28%
35,3583,辛耘,333000,1.28%
36,4904,遠傳,1658000,1.28%
37,4958,臻鼎-KY,706000,1.28%
38,6770,力積電,2824000,1.28%
39,1560,中砂,340000,1.27%
40,2360,致茂,96000,1.27%
41,2404,漢唐,185000,1.27%
42,3017,奇鋐,73000,1.27%
43,8996,高力,170000,1.27%
44,3481,群創光電,6093000,1.26%
45,1303,南亞,1931000,1.25%
46,6505,台塑石化,2731000,1.25%
47,7751,竑騰,100000,1.25%
48,6213,聯茂,460000,0.62%
49,3665,貿聯-KY,38000,0.60%
50,6805,富世達,32000,0.51%
51,2303,聯電,383000,0.18%
52,2454,聯發科,10000,0.12%
53,3167,大量,28000,0.09%
54,3491,昇達科技,4000,0.05%
55,6442,光聖,3000,0.05%
56,3715,定穎投控,20000,0.03%
57,6274,台燿,5000,0.03%
58,6285,啟碁科技,19000,0.03%
59,1815,富喬工業,30000,0.02%
60,2449,京元電子,9000,0.02%
61,3324,雙鴻科技,3000,0.02%
62,4722,國精化學,14000,0.02%
63,6290,良維,12000,0.02%
64,6446,藥華醫藥,4000,0.02%
65,8021,尖點,11000,0.02%
66,8358,金居開發,10000,0.02%
67,1519,華城,2000,0.01%
68,8299,群聯電子,1000,0.01%
