序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,341000,7.98%
2,2454,聯發科,133000,5.56%
3,2383,台光電子,99000,5.27%
4,6223,旺矽,80000,4.14%
5,2059,川湖,28000,3.80%
6,1303,南亞,1613000,3.75%
7,6669,緯穎,140191,3.58%
8,5274,信驊科技,20600,3.57%
9,2408,南亞科,684000,3.46%
10,3017,奇鋐,107000,3.46%
11,3037,欣興,323000,3.07%
12,2345,智邦,138000,2.89%
13,3443,創意電子,50000,2.88%
14,6274,台燿,191000,2.63%
15,6515,穎崴,34000,2.34%
16,2368,金像電子,198000,2.28%
17,3189,景碩科技,273000,2.26%
18,2344,華邦電子,1262000,2.21%
19,8046,南電,185000,2.17%
20,3665,貿聯-KY,100000,2.12%
21,2308,台達電子,114000,1.93%
22,4958,臻鼎-KY,390000,1.93%
23,3008,大立光電,25000,1.91%
24,3231,緯創,939000,1.70%
25,2455,全新,315000,1.67%
26,2303,聯電,1276000,1.57%
27,3081,聯亞光電,46000,1.53%
28,8996,高力,122000,1.51%
29,3653,健策,23000,1.30%
30,3264,欣銓,556000,1.27%
31,6139,亞翔工程,165000,1.16%
32,2327,國巨*,167000,0.88%
33,2337,旺宏,629000,0.76%
34,6805,富世達,36000,0.74%
35,5289,宜鼎國際,52872,0.73%
36,6147,頎邦,368000,0.66%
37,8210,勤誠興業,67000,0.63%
38,3036,文曄,312000,0.57%
39,8358,金居開發,108000,0.53%
40,3131,弘塑科技,22000,0.52%
41,8299,群聯電子,24000,0.48%
42,6239,力成,163000,0.44%
43,3044,健鼎科技,88000,0.43%
44,2313,華通,161000,0.39%
45,2347,聯強,448000,0.38%
46,6415,矽力*-KY,90000,0.37%
47,2449,京元電子,131000,0.35%
48,3702,大聯大,352000,0.35%
49,3042,晶技,192000,0.34%
50,2885,元大金,105360,0.07%
