序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,452000,9.38%
2,2454,聯發科,194000,7.66%
3,6223,旺矽,113000,6.31%
4,2383,台光電子,117000,5.19%
5,2327,國巨*,576000,4.74%
6,6274,台燿,327000,4.56%
7,2308,台達電子,235000,4.54%
8,2344,華邦電子,2440000,4.16%
9,6515,穎崴,46000,3.96%
10,6669,緯穎,83000,3.51%
11,5274,信驊科技,22000,3.46%
12,2345,智邦,132000,2.88%
13,3037,欣興,314000,2.67%
14,2303,聯電,1791000,2.19%
15,3017,奇鋐,106000,2.18%
16,2408,南亞科,565000,2.08%
17,2360,致茂,98000,1.97%
18,2368,金像電子,162000,1.89%
19,3443,創意電子,44000,1.88%
20,8046,南電,216000,1.69%
21,3189,景碩科技,272000,1.51%
22,3665,貿聯-KY,74000,1.36%
23,8210,勤誠興業,114000,1.33%
24,3711,日月光投控,255000,1.31%
25,2885,元大金,2062000,1.17%
26,2882,國泰金,1144000,1.09%
27,2881,富邦金控,915000,1.05%
28,3264,欣銓,545000,1.04%
29,2883,凱基金控,2780000,0.72%
30,3406,玉晶光,95000,0.61%
31,2347,聯強,719000,0.58%
32,3702,大聯大,615000,0.58%
33,2891,中信金,889000,0.55%
34,6147,頎邦,258000,0.51%
35,4904,遠傳,510000,0.50%
36,4958,臻鼎-KY,90000,0.49%
37,2637,慧洋-KY,703000,0.48%
38,2027,大成鋼,1299000,0.47%
39,6196,帆宣,100000,0.47%
40,5904,寶雅,82000,0.44%
41,3023,信邦,157000,0.43%
42,5536,聖暉*,41000,0.42%
43,8358,金居開發,75000,0.41%
44,3042,晶技,199000,0.39%
45,8021,尖點,86000,0.39%
46,4722,國精化學,184000,0.38%
47,6139,亞翔工程,54000,0.38%
48,2606,裕民,700000,0.37%
49,3045,台灣大,356000,0.37%
50,3036,文曄,184000,0.35%
51,8028,昇陽半導體,126000,0.34%
