序號,股票代號,股票名稱,股數,權重(%)
1,2337,旺宏,7009000,9.42%
2,2330,台積電,412000,7.79%
3,3189,景碩科技,1828000,7.37%
4,6515,穎崴,91000,7.34%
5,3702,大聯大,6169000,5.23%
6,2383,台光電子,115000,4.67%
7,3105,穩懋,1081000,4.42%
8,6584,南俊國際,532000,3.10%
9,7751,竑騰,150000,2.65%
10,6213,聯茂,732000,1.79%
11,3037,欣興,235000,1.72%
12,5289,宜鼎國際,108000,1.39%
13,2454,聯發科,46000,1.29%
14,2883,凱基金控,6798000,1.25%
15,6285,啟碁科技,563000,1.18%
16,2327,國巨*,386000,1.17%
17,5274,信驊科技,8000,1.17%
18,2360,致茂,61000,1.16%
19,7769,鴻勁,24000,1.15%
20,3260,威剛科技,301000,1.14%
21,2345,智邦,54000,1.13%
22,3533,嘉澤端子,48000,1.12%
23,6274,台燿,95000,1.12%
24,2308,台達電子,59000,1.10%
25,4958,臻鼎-KY,316000,1.10%
26,8046,南電,142000,1.10%
27,2027,大成鋼,3360000,1.08%
28,3264,欣銓,529000,1.08%
29,1303,南亞,1441000,1.07%
30,2049,上銀科技,411000,1.07%
31,2313,華通,523000,1.07%
32,3036,文曄,597000,1.07%
33,8210,勤誠興業,100000,1.06%
34,1590,亞德客-KY,85000,1.04%
35,2606,裕民,1958000,1.04%
36,2610,華航,6838000,1.04%
37,2618,長榮航,3582000,1.04%
38,6669,緯穎,26000,1.04%
39,6223,旺矽,25000,1.03%
40,1560,中砂,216000,1.02%
41,1815,富喬工業,1128000,1.02%
42,3044,健鼎科技,249000,1.02%
43,2368,金像電子,85000,1.01%
44,4749,新應材,125000,1.01%
45,2404,漢唐,120000,0.98%
46,3665,貿聯-KY,43000,0.98%
47,6805,富世達,61000,0.96%
48,5234,達興材料,291000,0.95%
49,3491,昇達科技,70000,0.93%
50,3017,奇鋐,40000,0.79%
