序號,股票代號,股票名稱,股數,權重(%)
1,3036,文曄,5627000,9.61%
2,2412,中華電,9084000,9.12%
3,2330,台積電,614000,8.54%
4,2303,聯電,17258000,7.72%
5,2454,聯發科,496000,6.53%
6,3044,健鼎科技,1982000,5.25%
7,2344,華邦電子,3108000,2.50%
8,1590,亞德客-KY,304000,2.31%
9,2327,國巨*,1070000,1.99%
10,3037,欣興,532000,1.88%
11,3167,大量,580000,1.52%
12,2360,致茂,135000,1.49%
13,2383,台光電子,75000,1.44%
14,8996,高力,212000,1.43%
15,3105,穩懋,629000,1.42%
16,6515,穎崴,30000,1.40%
17,2368,金像電子,196000,1.32%
18,3481,群創光電,5391000,1.31%
19,3533,嘉澤端子,96000,1.28%
20,3017,奇鋐,84000,1.16%
21,2308,台達電子,114000,1.15%
22,6770,力積電,2444000,1.14%
23,2313,華通,767000,1.13%
24,2345,智邦,101000,1.12%
25,6223,旺矽,42000,1.12%
26,6285,啟碁科技,851000,1.05%
27,6805,富世達,77000,1.05%
28,3324,雙鴻科技,134000,1.04%
29,3653,健策,41000,1.04%
30,2883,凱基金控,6820000,1.01%
31,5274,信驊科技,13000,1.01%
32,1303,南亞,1729000,0.99%
33,2337,旺宏,1342000,0.98%
34,3715,定穎投控,880000,0.98%
35,3264,欣銓,846000,0.95%
36,1560,中砂,278000,0.94%
37,1815,富喬工業,1226000,0.94%
38,6446,藥華醫藥,191000,0.94%
39,2449,京元電子,415000,0.92%
40,2882,國泰金,1719000,0.92%
41,6290,良維,579000,0.92%
42,8299,群聯電子,69000,0.92%
43,8021,尖點,514000,0.90%
44,1519,華城,131000,0.89%
45,3491,昇達科技,88000,0.88%
46,4722,國精化學,647000,0.85%
47,6442,光聖,67000,0.84%
48,6274,台燿,250000,0.83%
49,8358,金居開發,479000,0.81%
50,2408,南亞科,1000,0.00%
