序號,股票代號,股票名稱,股數,權重(%)
1,3037,欣興,1802000,9.17%
2,2330,台積電,487000,8.31%
3,2337,旺宏,7029000,8.18%
4,6515,穎崴,103000,7.66%
5,3702,大聯大,9187000,7.35%
6,2313,華通,3322000,7.16%
7,3105,穩懋,1834000,6.71%
8,6213,聯茂,732000,1.38%
9,2383,台光電子,40000,1.25%
10,3583,辛耘,218000,1.25%
11,2368,金像電子,124000,1.18%
12,6223,旺矽,31000,1.17%
13,2347,聯強,1723000,1.16%
14,3665,貿聯-KY,59000,1.14%
15,5274,信驊科技,10000,1.14%
16,2345,智邦,69000,1.11%
17,1590,亞德客-KY,113000,1.10%
18,8996,高力,122000,1.10%
19,3264,欣銓,702000,1.08%
20,2308,台達電子,73000,1.07%
21,2360,致茂,64000,1.06%
22,2327,國巨*,395000,1.04%
23,1303,南亞,1419000,1.03%
24,1560,中砂,237000,1.01%
25,3044,健鼎科技,307000,1.01%
26,4958,臻鼎-KY,491000,1.01%
27,2885,元大金,2426000,1.00%
28,2606,裕民,1924000,0.99%
29,3017,奇鋐,52000,0.99%
30,3481,群創光電,4391000,0.99%
31,3533,嘉澤端子,51000,0.99%
32,2395,研華,338000,0.96%
33,6805,富世達,64000,0.96%
34,2882,國泰金,1581000,0.95%
35,2883,凱基金控,5571000,0.95%
36,2404,漢唐,126000,0.94%
37,2481,強茂,1133000,0.93%
38,4904,遠傳,1195000,0.93%
39,2412,中華電,827000,0.92%
40,2603,長榮海運,555000,0.92%
41,3023,信邦,420000,0.92%
42,3131,弘塑科技,35000,0.92%
43,2891,中信金,2090000,0.90%
44,3036,文曄,475000,0.89%
45,5904,寶雅,217000,0.89%
46,2344,華邦電子,1192000,0.88%
47,3260,威剛科技,287000,0.87%
48,3293,鈊象,138000,0.85%
49,6505,台塑石化,1872000,0.84%
