序號,股票代號,股票名稱,股數,權重(%)
1,6223,旺矽,182000,9.58%
2,2330,台積電,455000,9.18%
3,6515,穎崴,94000,8.16%
4,2383,台光電子,145000,6.02%
5,3443,創意電子,132000,5.39%
6,5274,信驊科技,35000,5.10%
7,2345,智邦,197000,4.31%
8,2308,台達電子,233000,4.08%
9,3017,奇鋐,165000,3.61%
10,3037,欣興,453000,3.39%
11,6669,緯穎,69000,3.09%
12,2327,國巨*,601000,2.73%
13,2368,金像電子,230000,2.70%
14,2344,華邦電子,2225000,2.39%
15,7751,竑騰,150000,2.21%
16,3264,欣銓,1107000,2.17%
17,2360,致茂,108000,2.03%
18,8046,南電,263000,1.92%
19,2454,聯發科,46000,1.33%
20,3702,大聯大,1327000,1.32%
21,6274,台燿,95000,1.07%
22,5289,宜鼎國際,59000,0.93%
23,3653,健策,31000,0.88%
24,7769,鴻勁,14000,0.85%
25,3036,文曄,303000,0.73%
26,2883,凱基金控,3298000,0.65%
27,8210,勤誠興業,52000,0.63%
28,3665,貿聯-KY,33000,0.60%
29,4958,臻鼎-KY,158000,0.59%
30,2408,南亞科,230000,0.58%
31,8299,群聯電子,25000,0.56%
32,6213,聯茂,239000,0.53%
33,8021,尖點,145000,0.52%
34,2049,上銀科技,148000,0.51%
35,3044,健鼎科技,119000,0.50%
36,3533,嘉澤端子,22000,0.47%
37,6415,矽力*-KY,106000,0.47%
38,3189,景碩科技,98000,0.46%
39,3491,昇達科技,27000,0.44%
40,3680,家登精密,93000,0.44%
41,6285,啟碁科技,160000,0.43%
42,1590,亞德客-KY,32000,0.42%
43,3661,世芯-KY,10000,0.41%
44,4749,新應材,46000,0.41%
45,2313,華通,155000,0.36%
46,3105,穩懋,82000,0.34%
47,1303,南亞,448000,0.33%
48,1815,富喬工業,341000,0.32%
49,6805,富世達,20000,0.32%
50,6584,南俊國際,47000,0.28%
51,6640,均華,24000,0.28%
