序號,股票代號,股票名稱,股數,權重(%)
1,3036,文曄,5440000,9.66%
2,2412,中華電,8825000,9.09%
3,2330,台積電,595000,8.28%
4,2303,聯電,16769000,7.66%
5,2454,聯發科,481000,6.21%
6,3044,健鼎科技,1931000,5.27%
7,2344,華邦電子,3027000,2.67%
8,1590,亞德客-KY,295000,2.26%
9,3037,欣興,532000,2.20%
10,2327,國巨*,1041000,2.04%
11,3167,大量,565000,1.56%
12,2360,致茂,135000,1.48%
13,3105,穩懋,629000,1.44%
14,8996,高力,206000,1.44%
15,2383,台光電子,72000,1.40%
16,2368,金像電子,190000,1.30%
17,6515,穎崴,28000,1.30%
18,2313,華通,746000,1.24%
19,2337,旺宏,1310000,1.18%
20,3533,嘉澤端子,93000,1.18%
21,6770,力積電,2379000,1.17%
22,1303,南亞,1685000,1.13%
23,2308,台達電子,110000,1.13%
24,3017,奇鋐,81000,1.12%
25,6285,啟碁科技,827000,1.09%
26,3481,群創光電,5221000,1.08%
27,6223,旺矽,40000,1.08%
28,3715,定穎投控,855000,1.04%
29,2883,凱基金控,6630000,1.03%
30,1815,富喬工業,1226000,1.02%
31,2345,智邦,97000,1.02%
32,3324,雙鴻科技,129000,1.01%
33,3653,健策,39000,1.00%
34,8299,群聯電子,66000,0.99%
35,6805,富世達,74000,0.98%
36,6290,良維,561000,0.94%
37,3264,欣銓,820000,0.93%
38,4722,國精化學,630000,0.93%
39,1560,中砂,269000,0.92%
40,6274,台燿,243000,0.92%
41,2882,國泰金,1670000,0.91%
42,6446,藥華醫藥,185000,0.91%
43,3491,昇達科技,88000,0.90%
44,8358,金居開發,479000,0.90%
45,8021,尖點,498000,0.89%
46,6442,光聖,67000,0.88%
47,2449,京元電子,402000,0.87%
48,1519,華城,126000,0.86%
49,5274,信驊科技,11000,0.85%
50,2408,南亞科,1000,0.00%
