序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,502000,11.68%
2,6223,旺矽,104000,6.52%
3,2383,台光電子,85000,5.10%
4,2454,聯發科,116000,4.75%
5,2059,川湖,33000,4.01%
6,6274,台燿,239000,3.90%
7,3037,欣興,386000,3.83%
8,5274,信驊科技,21600,3.72%
9,2408,南亞科,633000,3.15%
10,2308,台達電子,168000,3.08%
11,6669,緯穎,48000,3.01%
12,2345,智邦,126000,2.82%
13,3189,景碩科技,333000,2.79%
14,3017,奇鋐,84000,2.64%
15,6515,穎崴,39000,2.56%
16,3711,日月光投控,408000,2.45%
17,8046,南電,183000,2.32%
18,2344,華邦電子,1196000,2.14%
19,2327,國巨*,333000,2.02%
20,2360,致茂,84000,1.88%
21,2303,聯電,1587000,1.87%
22,7769,鴻勁,28000,1.80%
23,2885,元大金,2634000,1.79%
24,3443,創意電子,33000,1.76%
25,3653,健策,33000,1.56%
26,3081,聯亞光電,53000,1.31%
27,3264,欣銓,597000,1.31%
28,2890,永豐金控,3016220,1.19%
29,3008,大立光電,25000,1.12%
30,2883,凱基金控,3587000,1.10%
31,2881,富邦金控,555000,0.70%
32,2347,聯強,707000,0.63%
33,2891,中信金,859000,0.55%
34,5289,宜鼎國際,38000,0.55%
35,1303,南亞,247000,0.50%
36,6446,藥華醫藥,34228,0.50%
37,2618,長榮航,1206000,0.47%
38,2395,研華,68000,0.45%
39,2882,國泰金,432000,0.43%
40,3702,大聯大,381000,0.43%
41,2027,大成鋼,882000,0.41%
42,4904,遠傳,401000,0.39%
43,2412,中華電,286000,0.38%
44,3231,緯創,192000,0.36%
45,2610,華航,1419000,0.27%
46,3293,鈊象,37000,0.27%
47,3481,群創光電,543000,0.26%
48,1301,台塑,416000,0.24%
49,1590,亞德客-KY,16000,0.23%
50,6257,矽格,99000,0.20%
