序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,336000,8.15%
2,2454,聯發科,133000,6.05%
3,2383,台光電子,99000,5.23%
4,6223,旺矽,76000,4.20%
5,1303,南亞,1669000,3.88%
6,3017,奇鋐,105000,3.49%
7,2408,南亞科,665000,3.42%
8,2059,川湖,28000,3.41%
9,6669,緯穎,134191,3.07%
10,3037,欣興,304000,2.97%
11,3443,創意電子,50000,2.91%
12,5274,信驊科技,15600,2.85%
13,2345,智邦,138000,2.73%
14,6274,台燿,191000,2.53%
15,6515,穎崴,32000,2.29%
16,2344,華邦電子,1262000,2.27%
17,3189,景碩科技,273000,2.18%
18,2368,金像電子,200000,2.16%
19,3665,貿聯-KY,104000,2.02%
20,8046,南電,185000,2.02%
21,2308,台達電子,114000,2.01%
22,4958,臻鼎-KY,401000,1.98%
23,3231,緯創,953000,1.77%
24,2455,全新,327000,1.71%
25,3008,大立光電,25000,1.69%
26,8996,高力,128000,1.69%
27,2303,聯電,1150000,1.60%
28,6805,富世達,66000,1.49%
29,3081,聯亞光電,52000,1.46%
30,3264,欣銓,564000,1.29%
31,3653,健策,22000,1.25%
32,6139,亞翔工程,165000,1.22%
33,2327,國巨*,165000,0.92%
34,2337,旺宏,637000,0.79%
35,6147,頎邦,368000,0.72%
36,5289,宜鼎國際,52872,0.70%
37,8210,勤誠興業,75000,0.68%
38,3036,文曄,312000,0.59%
39,6510,精測,16000,0.57%
40,8358,金居開發,108000,0.56%
41,3131,弘塑科技,22000,0.55%
42,8299,群聯電子,24000,0.49%
43,6239,力成,165000,0.46%
44,3044,健鼎科技,90000,0.45%
45,2347,聯強,448000,0.39%
46,6415,矽力*-KY,93000,0.38%
47,2313,華通,165000,0.37%
48,3702,大聯大,359000,0.37%
49,2449,京元電子,134000,0.36%
50,3042,晶技,196000,0.36%
51,2885,元大金,105360,0.07%
