序號,股票代號,股票名稱,股數,權重(%)
1,3037,欣興,1802000,9.86%
2,3105,穩懋,1834000,8.74%
3,6515,穎崴,103000,8.53%
4,2330,台積電,487000,7.71%
5,3702,大聯大,9187000,7.28%
6,2337,旺宏,7029000,7.20%
7,2313,華通,3322000,6.53%
8,6213,聯茂,732000,1.62%
9,3583,辛耘,218000,1.30%
10,2383,台光電子,40000,1.22%
11,4958,臻鼎-KY,491000,1.19%
12,5274,信驊科技,10000,1.18%
13,6223,旺矽,31000,1.18%
14,2345,智邦,69000,1.17%
15,2368,金像電子,124000,1.17%
16,8996,高力,122000,1.15%
17,2308,台達電子,73000,1.14%
18,2347,聯強,1723000,1.13%
19,3264,欣銓,702000,1.12%
20,3665,貿聯-KY,59000,1.11%
21,1590,亞德客-KY,113000,1.10%
22,3044,健鼎科技,307000,1.05%
23,3533,嘉澤端子,51000,1.04%
24,3017,奇鋐,52000,1.03%
25,2360,致茂,64000,1.00%
26,2327,國巨*,395000,0.99%
27,1303,南亞,1419000,0.97%
28,1560,中砂,237000,0.97%
29,2404,漢唐,126000,0.97%
30,2481,強茂,1133000,0.97%
31,2885,元大金,2426000,0.96%
32,2395,研華,338000,0.95%
33,6805,富世達,64000,0.95%
34,2606,裕民,1924000,0.94%
35,2882,國泰金,1581000,0.92%
36,3023,信邦,420000,0.92%
37,5904,寶雅,217000,0.91%
38,2883,凱基金控,5571000,0.89%
39,3131,弘塑科技,35000,0.89%
40,2412,中華電,827000,0.88%
41,3481,群創光電,4391000,0.88%
42,4904,遠傳,1195000,0.88%
43,3260,威剛科技,287000,0.87%
44,2603,長榮海運,555000,0.86%
45,2891,中信金,2090000,0.86%
46,2344,華邦電子,1192000,0.84%
47,3293,鈊象,138000,0.83%
48,3036,文曄,475000,0.80%
49,6505,台塑石化,1872000,0.77%
