序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,447000,9.61%
2,6223,旺矽,112000,6.48%
3,2454,聯發科,163000,6.40%
4,2383,台光電子,115000,5.67%
5,2327,國巨*,604000,5.33%
6,6274,台燿,318000,4.78%
7,2344,華邦電子,2484000,4.55%
8,2308,台達電子,214000,3.85%
9,6515,穎崴,45000,3.68%
10,5274,信驊科技,21000,3.36%
11,2345,智邦,139000,2.93%
12,3037,欣興,346000,2.92%
13,2303,聯電,1971000,2.90%
14,6669,緯穎,65000,2.63%
15,3017,奇鋐,116000,2.43%
16,2408,南亞科,557000,2.19%
17,3189,景碩科技,298000,1.88%
18,2368,金像電子,164000,1.80%
19,3443,創意電子,42000,1.72%
20,3711,日月光投控,278000,1.59%
21,4958,臻鼎-KY,259000,1.32%
22,3665,貿聯-KY,74000,1.28%
23,3264,欣銓,610000,1.23%
24,2360,致茂,57000,1.12%
25,2881,富邦金控,888000,1.06%
26,8046,南電,127000,1.00%
27,2885,元大金,1675000,0.99%
28,8358,金居開發,170000,0.97%
29,5536,聖暉*,84000,0.92%
30,2882,國泰金,912000,0.90%
31,8210,勤誠興業,67000,0.76%
32,2883,凱基金控,2598000,0.68%
33,8996,高力,44000,0.55%
34,2891,中信金,863000,0.54%
35,2347,聯強,636000,0.50%
36,3406,玉晶光,77000,0.49%
37,6147,頎邦,208000,0.46%
38,8021,尖點,86000,0.42%
39,2637,慧洋-KY,595000,0.40%
40,4904,遠傳,430000,0.40%
41,5904,寶雅,69000,0.40%
42,6196,帆宣,85000,0.40%
43,3045,台灣大,308000,0.32%
44,2890,永豐金控,685000,0.24%
45,1303,南亞,136000,0.18%
46,2472,立隆,48000,0.15%
47,3357,臺慶科,53000,0.14%
48,3481,群創光電,226000,0.13%
49,2412,中華電,97000,0.12%
50,3044,健鼎科技,27000,0.12%
51,6446,藥華醫藥,13000,0.12%
52,2618,長榮航,308000,0.11%
53,3008,大立光電,2000,0.09%
