序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,378000,8.68%
2,2383,台光電子,114000,5.93%
3,3037,欣興,563000,5.92%
4,6223,旺矽,115000,5.48%
5,3017,奇鋐,158000,5.03%
6,2059,川湖,32000,4.33%
7,6274,台燿,306000,4.32%
8,2408,南亞科,778000,3.98%
9,2454,聯發科,102000,3.85%
10,5274,信驊科技,25600,3.79%
11,6669,緯穎,55000,3.75%
12,2345,智邦,151000,3.04%
13,3189,景碩科技,354000,3.01%
14,8046,南電,247000,2.90%
15,2344,華邦電子,1610000,2.77%
16,3443,創意電子,48000,2.73%
17,6515,穎崴,39000,2.31%
18,3653,健策,36000,1.97%
19,2308,台達電子,110000,1.91%
20,3665,貿聯-KY,88000,1.88%
21,2303,聯電,1435000,1.77%
22,7769,鴻勁,26000,1.60%
23,2327,國巨*,243000,1.37%
24,5289,宜鼎國際,94872,1.32%
25,3711,日月光投控,200000,1.18%
26,3081,聯亞光電,25000,0.78%
27,8299,群聯電子,36000,0.73%
28,2301,光寶科技,175000,0.53%
29,2337,旺宏,444000,0.53%
30,6187,萬潤科技,38000,0.49%
31,2467,志聖,82000,0.47%
32,2885,元大金,773360,0.47%
33,2347,聯強,567000,0.46%
34,2455,全新,113000,0.46%
35,3491,昇達科技,32000,0.46%
36,2883,凱基金控,1458000,0.45%
37,8358,金居開發,87000,0.45%
38,2368,金像電子,41000,0.44%
39,3231,緯創,260000,0.44%
40,2890,永豐金控,1134220,0.43%
41,3264,欣銓,195000,0.43%
42,2360,致茂,22000,0.42%
43,6584,南俊國際,65000,0.42%
44,8996,高力,34000,0.41%
45,1560,中砂,57000,0.38%
46,2395,研華,59000,0.37%
47,6196,帆宣,79000,0.37%
48,6213,聯茂,66000,0.36%
49,6139,亞翔工程,48000,0.35%
50,3661,世芯-KY,8000,0.31%
