序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,381000,8.85%
2,6223,旺矽,116000,6.28%
3,2383,台光電子,115000,6.22%
4,3037,欣興,566000,5.99%
5,2059,川湖,33000,4.56%
6,3017,奇鋐,159000,4.54%
7,6274,台燿,308000,4.42%
8,5274,信驊科技,26600,3.96%
9,2408,南亞科,783000,3.86%
10,2454,聯發科,103000,3.72%
11,6669,緯穎,56000,3.49%
12,2345,智邦,152000,2.98%
13,3189,景碩科技,356000,2.87%
14,2344,華邦電子,1619000,2.80%
15,8046,南電,249000,2.79%
16,3443,創意電子,49000,2.64%
17,6515,穎崴,40000,2.42%
18,3653,健策,37000,1.86%
19,2308,台達電子,111000,1.84%
20,3665,貿聯-KY,89000,1.79%
21,2303,聯電,1442000,1.74%
22,7769,鴻勁,27000,1.62%
23,5289,宜鼎國際,94000,1.37%
24,2327,國巨*,245000,1.29%
25,3711,日月光投控,202000,1.15%
26,8299,群聯電子,37000,0.75%
27,3081,聯亞光電,26000,0.74%
28,2337,旺宏,447000,0.53%
29,2301,光寶科技,176000,0.50%
30,2347,聯強,571000,0.48%
31,6187,萬潤科技,39000,0.48%
32,2885,元大金,777360,0.47%
33,2455,全新,113000,0.46%
34,2883,凱基金控,1466000,0.45%
35,3231,緯創,262000,0.45%
36,2360,致茂,23000,0.44%
37,2467,志聖,83000,0.43%
38,2890,永豐金控,1140220,0.43%
39,3491,昇達科技,33000,0.41%
40,8996,高力,35000,0.41%
41,3264,欣銓,196000,0.40%
42,2368,金像電子,42000,0.39%
43,2395,研華,60000,0.39%
44,1560,中砂,58000,0.38%
45,6584,南俊國際,66000,0.38%
46,6196,帆宣,80000,0.37%
47,8358,金居開發,88000,0.37%
48,6139,亞翔工程,49000,0.36%
49,3661,世芯-KY,9000,0.34%
50,6213,聯茂,67000,0.34%
