序號,股票代號,股票名稱,股數,權重(%)
1,2330,台積電,445000,9.32%
2,2454,聯發科,190000,7.43%
3,6223,旺矽,111000,6.25%
4,2383,台光電子,115000,5.24%
5,2327,國巨*,567000,4.89%
6,6274,台燿,322000,4.71%
7,2308,台達電子,231000,4.36%
8,2344,華邦電子,2402000,4.19%
9,6515,穎崴,45000,3.73%
10,6669,緯穎,81000,3.61%
11,5274,信驊科技,21000,3.40%
12,2345,智邦,129000,2.82%
13,3037,欣興,309000,2.68%
14,2303,聯電,1761000,2.16%
15,3017,奇鋐,104000,2.16%
16,2408,南亞科,555000,2.13%
17,2368,金像電子,159000,1.91%
18,3443,創意電子,43000,1.91%
19,2360,致茂,96000,1.88%
20,3189,景碩科技,267000,1.65%
21,8046,南電,212000,1.64%
22,3665,貿聯-KY,72000,1.32%
23,8210,勤誠興業,112000,1.32%
24,3711,日月光投控,250000,1.30%
25,2885,元大金,2031000,1.19%
26,2882,國泰金,1127000,1.12%
27,2881,富邦金控,901000,1.07%
28,3264,欣銓,536000,0.99%
29,2883,凱基金控,2739000,0.73%
30,3406,玉晶光,93000,0.59%
31,2347,聯強,708000,0.57%
32,3702,大聯大,606000,0.57%
33,2891,中信金,876000,0.55%
34,6147,頎邦,254000,0.51%
35,4958,臻鼎-KY,88000,0.49%
36,4904,遠傳,501000,0.48%
37,2027,大成鋼,1279000,0.47%
38,2637,慧洋-KY,692000,0.47%
39,6196,帆宣,98000,0.46%
40,5904,寶雅,80000,0.43%
41,3023,信邦,154000,0.42%
42,4722,國精化學,181000,0.42%
43,5536,聖暉*,40000,0.42%
44,8358,金居開發,75000,0.42%
45,8021,尖點,86000,0.41%
46,2606,裕民,689000,0.38%
47,3042,晶技,195000,0.38%
48,3045,台灣大,350000,0.37%
49,6139,亞翔工程,53000,0.37%
50,3036,文曄,181000,0.36%
51,8028,昇陽半導體,124000,0.34%
